Name,Forcefield,Lipid,Software,Files
Wu2014_DMDG,charmm36,DMDG - DG(14:0/​​14:0/​​0:0),Charmm,"DMDG.pdb,  DMDG.str"
Wu2014_DNDG,charmm36,DNDG - DG(24:1(15Z)/​​24:1(15Z)/​​0:0),Charmm,"DNDG.pdb,  DNDG.str"
Wu2014_D1DG,charmm36,"D1DG - DG(16:3(7Z,10Z,13Z)/​​16:3(7Z,10Z,13Z)/​​0:0)",Charmm,"D1DG.pdb,  D1DG.str"
Wu2014_W1DG,charmm36,"W1DG - DG(18:3(9Z,12Z,15Z)/​​16:3(7Z,10Z,13Z)/​​0:0)",Charmm,"W1DG.pdb,  W1DG.str"
Wu2014_IWDG,charmm36,"IWDG - DG(18:2(9Z,12Z)/​18:3(9Z,12Z,15Z)/​0:0)",Charmm,"IWDG.pdb,  IWDG.str"
Wu2014_DPGK,charmm36,DPGK - PG(16:0/​16:0)-Lysyl,Charmm,"DPGK.pdb,  DPGK.str"
Klauda2012_PAPC,charmm36,"PAPC - PC(16:0/​​20:4(5Z,8Z,11Z,14Z))",Charmm,"PAPC.pdb,  PAPC.str"
Lim2011_M14C,charmm36,M14C - PC(16:0/​​15:0(14Me)),Charmm,"M14C.pdb,  M14C.str"
Lim2011_M13C,charmm36,M13C - PC(16:0/​​15:0(13Me)),Charmm,"M13C.pdb,  M13C.str"
Lim2011_D4MC,charmm36,"D4MC - PC(16:0(3Me,7Me,11Me,15Me)/​​16:0(3Me,7Me,11Me,15Me))",Charmm,"D4MC.pdb,  D4MC.str"
Klauda2012_ZSPC,charmm36,"ZSPC - PC(32:6(14Z,17Z,20Z,23Z,26Z,29Z)/​18:0)",Charmm,"ZSPC.pdb,  ZSPC.str"
Leonard2018_DPEC,charmm36,DPEC - PC(O-16:0/​O-16:0),Charmm,"DPEC.pdb,  DPEC.str"
Leonard2018_POEC,charmm36,POEC - PC(O-16:0/​​O-18:1(9Z)),Charmm,"POEC.pdb,  POEC.str"
Leonard2018_DOEC,charmm36,DOEC - PC(O-18:1(9Z)/​​O-18:1(9Z)),Charmm,"DOEC.pdb,  DOEC.str"
Leonard2018_DMEC,charmm36,DMEC - PC(O-14:0/​​O-14:0),Charmm,"DMEC.pdb,  DMEC.str"
Klauda2010_DEPE,charmm36,DEPE - PE(22:1(13Z)/​​22:1(13Z)),Charmm,"DEPE.pdb,  DEPE.str"
Klauda2010_DNPE,charmm36,DNPE - PE(24:1(15Z)/​​24:1(15Z)),Charmm,"DNPE.pdb,  DNPE.str"
Leonard2018_DPEE,charmm36,DPEE - PE(O-16:0/​​O-16:0),Charmm,"DPEE.pdb,  DPEE.str"
Leonard2018_POEE,charmm36,POEE - PE(O-16:0/​​​O-18:1(9Z)),Charmm,"POEE.pdb,  POEE.str"
Leonard2018_DOEE,charmm36,DOEE - PE(O-18:1(9Z)/​​​O-18:1(9Z)),Charmm,"DOEE.pdb,  DOEE.str"
Leonard2018_DMEE,charmm36,DMEE - PE(O-14:0/​​​O-14:0),Charmm,"DMEE.pdb,  DMEE.str"
